sample_id,MAG_001,MAG_002,MAG_003,MAG_004,MAG_005,MAG_006,MAG_007,MAG_008,MAG_009,MAG_010,MAG_011,MAG_012,MAG_013,MAG_014,MAG_015,MAG_016,MAG_017,MAG_018,MAG_019,MAG_020,MAG_021,MAG_022,MAG_023,MAG_024,MAG_025,MAG_026,MAG_027,MAG_028,MAG_029,MAG_030,MAG_031,MAG_032,MAG_033,MAG_034,MAG_035,MAG_036,MAG_037,MAG_038,MAG_039,MAG_040
S023,5,2,12,8,4,18,5,5,11,12,12,8,7,20,20,7,26,8,32,12,16,43,21,24,19,39,37,24,72,29,39,29,46,90,35,54,57,70,64,37
S024,7,7,2,5,8,20,7,6,10,3,10,8,9,9,16,15,18,16,17,15,23,13,11,26,41,38,24,37,45,25,41,75,41,37,49,126,49,44,84,126
S025,4,2,6,4,4,6,9,8,1,5,6,22,15,23,7,16,17,3,15,4,13,7,17,25,11,45,24,26,18,13,16,32,48,36,63,42,46,53,34,54
S026,13,15,8,8,5,6,7,14,12,5,10,10,13,19,5,7,9,28,13,18,21,41,47,27,14,19,23,40,28,41,17,42,43,87,95,77,33,74,56,114
S027,7,5,5,9,4,17,6,7,2,11,3,10,9,10,11,12,8,16,13,21,18,13,17,19,30,21,40,20,29,26,23,15,24,13,61,44,35,47,71,37
S028,3,4,10,3,2,14,9,5,9,2,8,9,16,8,15,11,16,16,32,25,14,11,6,41,8,44,28,19,22,42,27,42,48,22,28,25,70,81,52,68
S029,5,4,4,8,8,5,17,6,17,9,4,11,12,14,7,15,18,29,8,25,18,9,29,18,28,20,24,14,16,77,65,24,48,50,36,72,15,103,69,67
S030,3,8,1,6,5,3,6,11,16,6,11,10,8,4,5,8,20,8,18,36,10,8,23,25,11,21,27,17,36,32,37,49,17,22,31,52,63,62,87,38
S031,4,3,4,7,2,2,12,7,7,12,12,7,21,18,17,7,21,18,18,13,13,11,24,27,22,23,24,26,27,61,34,12,32,58,135,34,60,74,54,98
S032,9,4,5,4,6,9,8,6,8,10,7,7,16,14,15,20,10,10,14,29,21,16,12,16,22,16,32,29,9,37,36,27,33,45,33,34,54,76,15,41
S033,3,8,3,4,5,5,5,4,9,2,6,8,11,18,5,10,25,13,8,10,6,14,26,20,29,33,28,26,17,39,26,16,41,23,53,34,51,28,65,31
S034,9,9,9,6,5,11,10,5,6,13,14,10,15,14,12,13,14,8,18,22,5,52,26,30,20,19,29,40,40,37,54,43,39,63,23,53,43,57,53,28
S035,5,4,9,5,3,5,2,10,2,10,6,11,11,2,13,8,5,9,7,28,9,27,15,10,25,47,7,38,37,17,13,40,40,48,41,14,26,62,52,35
S036,5,3,1,5,7,13,4,7,6,5,8,11,9,7,15,8,5,16,19,8,7,11,25,21,43,28,56,28,14,31,22,27,20,64,25,63,39,37,40,61
S037,2,6,6,2,4,8,4,6,11,9,10,6,7,5,7,3,8,6,25,17,19,15,17,19,35,22,15,40,25,19,52,45,72,27,53,48,35,76,83,44
S038,6,6,3,10,15,6,10,14,17,10,14,24,24,23,24,16,21,25,16,30,26,17,25,14,47,27,46,62,44,115,45,51,81,72,75,72,98,59,68,82
S039,2,6,9,9,3,5,7,3,6,3,8,9,10,1,8,7,14,16,11,15,8,12,28,13,56,27,24,66,20,28,32,52,65,47,59,53,47,75,63,23
S040,6,7,7,6,14,5,8,13,8,10,9,11,9,20,12,9,39,19,22,19,21,9,34,32,23,27,48,42,14,30,35,43,45,81,71,28,63,57,31,50
S041,4,9,10,2,11,11,26,14,8,6,22,9,12,8,25,26,31,26,34,13,28,25,48,38,38,32,35,65,64,46,42,38,38,48,54,91,91,71,96,111
S042,1,3,12,3,8,4,13,6,11,8,8,11,23,9,4,12,26,8,10,10,39,16,11,31,30,31,23,20,32,22,37,43,33,22,55,33,49,107,54,103
S043,1,6,11,4,1,17,8,4,3,9,11,4,5,10,13,13,17,21,8,15,29,24,8,9,43,31,36,7,55,15,24,18,38,46,37,54,111,88,73,16
S044,5,1,3,1,7,4,13,4,4,10,3,14,6,4,6,13,6,2,20,11,5,27,26,16,22,19,22,17,16,17,55,26,46,29,16,26,50,44,11,26
S045,3,5,3,7,5,9,10,4,9,12,7,10,12,12,7,13,2,7,7,6,29,17,13,13,17,16,24,33,18,19,39,12,26,28,29,35,49,41,37,23
S046,5,5,8,8,10,7,5,6,20,15,11,8,14,17,17,13,14,18,17,13,19,22,16,34,26,26,36,57,33,27,45,55,45,43,24,93,15,112,65,109
S047,8,5,7,8,7,11,10,7,16,18,25,19,19,9,19,34,20,31,29,26,19,25,44,26,32,23,34,37,30,54,29,56,59,102,82,108,47,68,56,113
S048,2,7,8,3,0,15,4,4,5,3,16,10,10,6,12,7,10,5,26,9,16,12,39,30,21,31,16,25,51,29,39,54,17,128,55,48,64,47,83,72
S049,9,6,7,8,2,7,18,6,5,11,12,21,18,17,15,21,19,17,16,23,22,28,35,37,25,20,67,78,26,22,69,66,34,20,61,61,50,96,78,57
S050,13,3,4,4,2,4,5,13,16,6,11,9,15,11,6,8,22,11,22,4,24,13,19,17,16,25,10,28,29,59,26,54,54,18,31,47,44,62,49,43
S051,1,3,4,3,5,4,3,3,11,2,7,16,11,8,15,7,8,14,13,32,17,29,16,13,42,31,38,23,18,34,38,65,33,43,78,88,68,48,131,80
S052,4,5,6,5,8,8,5,11,4,4,5,8,12,21,20,19,15,25,18,38,18,23,19,62,26,24,41,64,48,72,53,50,60,77,80,79,86,54,120,129
S053,0,2,5,7,6,6,2,4,5,6,10,6,7,17,6,10,13,12,8,25,12,29,14,26,6,42,19,18,23,15,22,65,25,36,37,57,122,53,26,86
S054,8,5,9,6,6,3,3,7,9,10,11,12,9,17,15,29,12,13,17,9,28,18,28,31,26,46,32,26,42,20,64,68,101,40,120,33,126,68,132,122
S055,1,11,8,5,4,5,9,7,9,15,6,4,4,10,4,16,19,23,16,10,19,63,24,15,32,20,29,38,25,29,47,80,103,82,89,88,86,55,103,217
S056,3,12,2,7,4,6,5,7,8,6,12,6,12,4,16,9,12,9,20,22,13,37,17,29,27,44,31,25,35,49,42,63,27,85,86,67,43,117,155,67
S057,6,2,4,5,8,3,8,13,7,6,12,13,14,18,39,10,13,16,24,13,32,30,23,27,21,36,44,53,25,54,48,92,41,73,64,116,107,81,132,94
S058,4,4,3,3,10,7,6,5,10,2,6,8,7,8,6,18,5,12,4,21,17,14,21,23,12,13,24,27,26,25,42,58,29,41,35,58,99,96,35,79
S059,3,3,9,11,9,8,1,7,10,12,17,4,11,31,16,26,42,26,21,25,26,64,33,19,91,32,63,75,69,60,38,69,44,79,58,93,160,104,97,218
S060,4,0,7,2,4,6,9,16,7,8,5,15,1,17,14,25,21,10,17,8,21,28,22,28,42,25,23,23,40,15,55,45,101,90,55,54,38,120,64,164
S061,4,2,1,5,3,7,11,3,3,7,9,3,10,24,14,24,28,17,13,33,22,16,22,7,34,28,37,17,13,55,49,47,63,72,52,74,62,59,80,41
S062,4,6,5,3,6,4,2,4,3,7,6,5,9,1,10,14,42,9,20,23,12,35,27,18,56,38,19,20,32,47,39,27,79,40,51,110,69,32,127,62
S063,1,0,4,2,9,2,2,8,0,4,3,5,1,7,6,11,11,5,5,18,16,14,5,15,26,34,12,30,14,43,23,64,66,94,14,28,74,64,100,110
S064,6,3,7,6,2,6,10,5,1,13,5,12,7,7,15,10,9,4,7,28,21,27,11,19,16,14,34,24,34,44,45,27,88,49,83,37,54,46,75,71
S065,4,1,3,4,3,5,5,9,2,9,8,9,6,9,6,13,9,2,12,20,12,15,15,26,14,47,20,49,27,33,63,38,22,57,88,65,66,51,87,111
S066,0,3,4,4,3,1,2,6,1,5,7,1,16,11,6,9,13,5,8,19,6,12,18,35,26,7,13,19,21,14,26,42,67,29,77,51,60,65,22,40
S067,1,5,4,3,2,4,4,4,14,7,6,13,14,15,26,9,13,29,31,21,25,41,12,61,33,47,13,31,39,51,53,71,141,127,101,63,80,126,91,147
S068,4,1,2,2,5,7,2,2,3,3,1,18,8,9,4,21,14,12,18,8,16,14,30,5,27,67,37,29,27,18,15,30,55,66,121,38,42,42,61,164
S069,1,10,3,4,13,9,5,6,5,3,12,9,15,9,15,17,17,30,14,19,29,19,21,43,37,35,19,34,28,39,54,31,46,81,66,113,100,104,88,104
S070,1,4,9,4,3,1,2,2,1,6,12,9,7,23,8,8,16,17,15,13,14,9,19,23,39,32,30,61,45,34,38,77,46,42,20,42,65,92,76,65
S071,2,5,3,2,3,5,3,5,5,15,15,15,13,6,19,11,9,17,24,14,22,6,21,19,35,26,35,42,38,88,31,153,75,136,66,97,137,40,81,90
S072,4,5,4,8,8,3,9,8,18,5,11,17,3,19,30,14,9,9,25,18,16,56,23,28,27,46,23,53,60,48,18,29,41,105,69,97,90,48,149,58
S073,4,9,4,6,5,2,6,4,2,8,4,16,7,8,19,16,5,7,22,11,35,5,17,48,26,52,20,38,41,42,37,63,49,72,48,85,69,118,139,129
S074,3,3,1,7,5,1,6,5,7,8,11,9,5,5,15,7,11,24,17,13,30,23,31,18,12,41,21,14,26,29,38,53,26,25,74,33,34,52,93,71
S075,6,5,10,1,5,3,3,7,10,13,4,8,6,6,7,10,11,12,10,9,18,32,27,59,36,40,45,32,39,65,33,41,35,77,42,63,60,105,153,85
S076,2,11,8,4,3,8,8,10,10,22,17,18,19,15,17,25,20,22,20,20,28,19,30,30,58,26,25,42,33,61,62,74,62,46,69,90,56,95,82,53
S077,0,4,3,4,9,4,4,7,7,20,7,7,10,8,5,10,12,10,5,4,5,7,29,11,20,17,23,9,10,30,5,54,25,28,38,28,42,23,37,62
S078,8,3,2,13,3,7,7,7,6,7,4,7,12,17,10,12,14,9,9,13,14,28,13,16,21,23,54,18,34,28,42,28,36,36,30,45,39,33,40,92
S079,3,9,4,1,3,12,13,20,8,18,12,19,13,3,6,11,36,23,17,35,13,28,17,30,35,24,26,56,35,21,82,43,59,59,43,93,90,67,107,111
S080,2,2,1,5,16,1,23,13,13,13,4,13,4,13,16,22,21,16,27,33,9,41,28,19,76,10,24,35,32,45,37,98,37,88,74,50,71,31,68,99
S081,5,7,7,8,2,4,6,5,4,6,23,18,6,17,5,9,23,12,37,10,38,24,15,38,15,31,30,35,58,53,24,29,43,31,53,27,52,87,33,73
S082,2,14,9,5,7,7,6,9,7,3,12,15,26,9,12,20,19,13,11,8,16,38,27,25,39,21,21,14,23,48,50,24,42,76,68,58,63,51,59,85
S083,0,7,2,14,7,6,6,9,8,5,17,11,11,6,4,31,8,16,6,6,15,13,23,43,21,35,10,22,20,37,17,27,54,29,45,45,57,39,54,54
S084,1,4,1,5,3,3,3,9,0,5,4,4,3,6,10,13,8,15,18,6,21,10,25,18,23,14,16,11,13,35,46,41,37,36,31,48,42,35,52,75
S085,0,10,4,8,3,2,5,3,8,7,16,6,11,7,2,19,9,6,22,18,10,24,3,23,13,11,12,24,39,25,31,70,45,43,57,53,77,40,73,71
S086,5,4,2,2,2,3,4,4,9,7,10,7,5,13,6,9,8,14,6,12,16,15,15,17,36,8,19,26,22,20,60,34,25,14,37,47,48,21,77,48
S087,6,2,6,5,2,5,5,0,7,14,5,14,4,4,19,21,10,16,24,45,27,31,17,28,57,28,37,41,53,44,28,54,42,89,28,79,69,41,52,110
S088,4,4,2,2,5,2,4,14,11,19,14,14,2,10,4,10,10,24,14,21,6,7,23,30,27,41,43,20,19,47,28,47,28,79,17,37,55,36,84,97
S089,1,3,6,14,1,2,3,8,2,9,12,11,10,19,14,10,5,15,10,27,11,22,8,29,6,30,11,22,21,21,22,41,28,57,57,52,58,28,31,88
S090,4,12,7,9,5,3,17,15,8,12,5,30,18,6,8,9,16,29,13,16,11,24,14,39,46,36,22,25,38,34,35,37,21,67,51,65,72,64,30,155
S091,1,4,6,8,5,2,3,7,4,2,15,3,5,15,14,15,5,17,11,16,6,26,8,39,17,52,15,13,27,26,29,38,47,38,24,19,50,43,21,52
S092,0,5,2,6,3,6,4,11,13,2,7,9,4,11,15,13,11,14,15,17,11,24,15,16,30,32,23,22,29,17,25,43,26,17,21,29,50,53,68,81
S093,4,5,3,9,7,3,7,8,7,5,8,6,12,7,3,22,10,22,8,4,20,17,10,10,31,26,46,22,26,35,18,35,60,53,47,28,41,49,58,63
S094,5,13,3,9,9,2,3,6,1,6,3,15,10,13,17,17,15,5,9,14,10,28,12,17,41,19,50,17,40,36,23,38,40,45,57,37,28,49,24,105
S095,0,3,3,1,7,3,2,7,7,16,5,8,9,13,12,11,5,27,13,13,9,5,18,17,54,43,23,15,34,13,34,20,6,40,68,38,50,35,66,108
S096,1,1,5,5,4,5,2,10,4,9,11,4,7,11,3,5,3,1,9,22,11,9,8,36,15,21,28,11,29,22,18,22,32,18,64,22,34,28,11,43
S097,11,3,7,8,11,5,2,10,1,10,9,8,8,7,8,19,12,22,6,31,19,19,5,31,36,25,9,42,27,12,33,28,61,68,18,66,56,44,32,23
S098,6,8,1,5,13,3,8,10,4,6,17,12,15,12,8,13,12,13,12,10,9,17,14,31,40,39,19,21,26,29,53,56,45,100,48,47,72,74,73,58
S099,2,4,7,4,1,4,4,10,4,3,8,7,6,12,8,11,5,20,11,11,12,19,5,16,6,22,13,34,8,45,10,24,13,23,12,42,37,44,45,36
S100,4,6,2,2,3,0,0,6,5,6,6,8,5,12,3,9,12,12,15,11,12,12,17,6,21,23,24,21,18,13,12,19,28,38,11,52,41,17,13,42
